column,kind,missing_rate,flag_high_missing,flag_near_constant,corr,auc,rank_metric,cramers_v,fraud_rate_spread
V225,numeric,0.7791343516103905,False,False,0.007935938017775309,0.5260101450986011,0.5260101450986011,,
V285,numeric,2.0320384732617603e-05,False,False,-0.009127666684282892,0.5257126733876669,0.5257126733876669,,
V195,numeric,0.7632353439225116,False,False,0.14705171587108742,0.5256288927396042,0.5256288927396042,,
V250,numeric,0.7605310393876791,False,False,0.045213161618491274,0.5255762906488436,0.5255762906488436,,
V255,numeric,0.7605310393876791,False,False,0.0380749441344736,0.5250297165414786,0.5250297165414786,,
V146,numeric,0.8612371727571375,False,False,0.19858410836535817,0.5249061753116604,0.5249061753116604,,
V150,numeric,0.8612270125647712,False,False,-0.06396456514351541,0.5247191425229061,0.5247191425229061,,
V155,numeric,0.8612371727571375,False,False,0.23419901739686866,0.5246988394639407,0.5246988394639407,,
V209,numeric,0.7632353439225116,False,False,-0.01882854191767653,0.5245161540975376,0.5245161540975376,,
V210,numeric,0.7632353439225116,False,False,-0.0006525308250586691,0.5244016088494963,0.5244016088494963,,
V175,numeric,0.7632353439225116,False,False,-0.0022224537037514105,0.5243391428635645,0.5243391428635645,,
V148,numeric,0.8612371727571375,False,False,0.22889104114794684,0.5239089286396037,0.5239089286396037,,
V4,numeric,0.47293494090154775,False,False,0.012610689217183809,0.5235865915071569,0.5235865915071569,,
V208,numeric,0.7632353439225116,False,False,0.00915020792206923,0.5235605491373342,0.5235605491373342,,
D13,numeric,0.8950926270870728,False,False,-0.059430392139737546,0.5235544876284908,0.5235544876284908,,
V174,numeric,0.7632353439225116,False,False,0.016204456730692478,0.5235432864503239,0.5235432864503239,,
V198,numeric,0.7632353439225116,False,False,0.13990292115480712,0.5222270151536339,0.5222270151536339,,
V116,numeric,0.0005317167338368274,False,False,0.08064377871983773,0.5221492905368792,0.5221492905368792,,
V154,numeric,0.8612371727571375,False,False,0.20695843357230037,0.521875895822022,0.521875895822022,,
V194,numeric,0.7632353439225116,False,False,0.1472039115091227,0.5217895871426605,0.5217895871426605,,
V114,numeric,0.0005317167338368274,False,True,0.0960860000167413,0.5210807977714633,0.5210807977714633,,
V115,numeric,0.0005317167338368274,False,False,0.0571082073763503,0.521078320439215,0.521078320439215,,
V256,numeric,0.7605310393876791,False,False,0.05304312268997228,0.5209415228938384,0.5209415228938384,,
V260,numeric,0.7791343516103905,False,False,0.12488856705074153,0.5203373198041765,0.5203373198041765,,
V145,numeric,0.8612270125647712,False,False,-0.06196403666644701,0.5199197882831497,0.5199197882831497,,
V153,numeric,0.8612371727571375,False,False,0.18311384057258376,0.5198290419082531,0.5198290419082531,,
V251,numeric,0.7605310393876791,False,False,0.06334827593073697,0.5196194365774075,0.5196194365774075,,
V197,numeric,0.7632353439225116,False,False,0.15398373154402709,0.5194246839452888,0.5194246839452888,,
V310,numeric,2.0320384732617603e-05,False,False,0.011071035212631206,0.5189072865894988,0.5189072865894988,,
V207,numeric,0.763553696616656,False,False,-0.012417636289724164,0.5189042493596958,0.5189042493596958,,
V320,numeric,2.0320384732617603e-05,False,False,0.004960880975737554,0.5185814118607406,0.5185814118607406,,
V298,numeric,2.0320384732617603e-05,False,False,0.0012942367007050763,0.5184090799707921,0.5184090799707921,,
V112,numeric,0.0005317167338368274,False,True,0.10521209993223535,0.5182273255306735,0.5182273255306735,,
V131,numeric,0.0005317167338368274,False,False,0.024974677273711,0.518147118358904,0.518147118358904,,
V332,numeric,0.8605496664070174,False,False,-0.023468291149377162,0.5179315006896509,0.5179315006896509,,
V323,numeric,0.8605496664070174,False,False,-0.023328624944233125,0.5178536910224789,0.5178536910224789,,
V333,numeric,0.8605496664070174,False,False,-0.024133896370810735,0.517804955732166,0.517804955732166,,
